Menu Item,Qty_Sold,Total_Revenue,BCG_Matrix,Void_Count,Discount_Count,Total_Discount_Amt,Transaction_Count,Item_Void_Rate,Item_Discount_Freq
BR Strawberry,5,80,Dog,0,0,0.0,5,0.0,0.0
"BTB - Cab. Sauv. - Iron + Sand, Paso Robles",5,320,Dog,2,2,79.0,5,0.4,0.4
"BTB - Champ. - Madame Zéro, Blanc de Blancs",6,360,Dog,2,2,148.0,6,0.3333333333333333,0.3333333333333333
"BTB - Lucien Albrecht, Crémant d'Alsace Rosé",6,272,Dog,1,3,12718.0,6,0.16666666666666666,0.5
"BTB - Sweet - Vietti, Moscato d'Asti",4,144,Dog,0,1,1385.0,4,0.0,0.25
BTB Cava,21,752,Star,4,6,1332.0,24,0.16666666666666666,0.25
"BTB Lucien Albrecht, Crémant d'Alsace Rosé",5,340,Dog,0,1,24.0,5,0.0,0.2
BTB MOET,2,150,Dog,0,0,0.0,2,0.0,0.0
BTB MOET & chandom,4,100,Dog,0,2,116.0,4,0.0,0.5
"BTB Madame Zéro, Blanc de Blancs",103,6322,Star,12,59,5200.0,93,0.12903225806451613,0.6344086021505376
BTB Prosseco,1,0,Dog,0,1,125.0,1,0.0,1.0
"BTB Telmont, Brut",4,200,Dog,1,2,200.0,4,0.25,0.5
"BTB Telmont, Rosé",9,900,Puzzle,1,2,130.0,9,0.1111111111111111,0.2222222222222222
BTB Whispering Angel,1,90,Dog,1,1,105.0,1,1.0,1.0
BTG HOUSE WHITE,14,182,Plowhorse,0,2,37.0,13,0.0,0.15384615384615385
BTG PROSECCO,21,285,Plowhorse,2,2,294.0,19,0.10526315789473684,0.10526315789473684
BTG SAUV BLANC,5,70,Dog,0,0,0.0,5,0.0,0.0
BTL 818 Reserve 750 mL,1,1000,Puzzle,0,0,0.0,1,0.0,0.0
BTL AGUA SOL BLANCO,3,400,Puzzle,1,3,937.0,3,0.3333333333333333,1.0
BTL Aguasol Reposado,5,1120,Puzzle,0,5,1029.0,5,0.0,1.0
BTL Angel's Envy Bourbon 750ml,15,4961,Star,3,1,362.0,15,0.2,0.06666666666666667
BTL Angel's Envy Rye 750ml,2,900,Puzzle,0,1,5.0,2,0.0,0.5
BTL Bacardi,4,1600,Puzzle,0,0,0.0,4,0.0,0.0
BTL Bacardi 8,14,5550,Star,6,1,50.0,14,0.42857142857142855,0.07142857142857142
BTL Belvedere 1.75L,12,5700,Star,2,3,682.0,12,0.16666666666666666,0.25
BTL Belvedere 1L,150,50355,Star,10,22,4214.0,144,0.06944444444444445,0.1527777777777778
BTL Blantons,1,1000,Puzzle,0,0,0.0,1,0.0,0.0
BTL Botanist 1L,2,600,Puzzle,1,0,0.0,2,0.5,0.0
BTL Buffalo Trace,1,300,Dog,1,0,0.0,1,1.0,0.0
BTL CASA DE SOL BLANCO,1,400,Puzzle,0,0,0.0,1,0.0,0.0
BTL Calirosa Bianco,4,1400,Puzzle,1,1,50.0,4,0.25,0.25
BTL Calirosa Repo 750ml,4,1050,Puzzle,2,1,645.0,4,0.5,0.25
BTL Captain Morgan,4,1130,Puzzle,2,1,500.0,4,0.5,0.25
BTL Casa Dragones Blanco 750ml,61,29900,Star,4,7,438.0,61,0.06557377049180328,0.11475409836065574
BTL Casa Dragones Reposado,4,3000,Puzzle,2,1,200.0,4,0.5,0.25
BTL Casa del Sol Añejo 750ml,5,1050,Puzzle,1,4,908.0,5,0.2,0.8
BTL Casa del Sol Repo 750mL,33,11600,Star,6,9,1681.0,30,0.2,0.3
BTL Casamigos Blanco,1,400,Puzzle,1,1,332.0,1,1.0,1.0
BTL Casamigos Cristalino,27,11806,Star,3,6,826.0,27,0.1111111111111111,0.2222222222222222
